W45-A;7;Martina Brém Knorová;Klub OB Martin;SVK;37:15;+7:18
W45-A;8;Csilla Hajas;MOM Budapest;CZE;38:54;+8:57
W45-A;9;Alena Barillová;KOB Čingov Spišská Nová Ves;SVK;39:40;+9:43
W45-A;10;Jana Kostková;Orientacni Beh Opava;SVK;42:58;+13:01
W45-A;11;Pavla Sedlářová;Orientacni Beh Opava;SVK;44:46;+14:49
W45-A;12;Bibiana Perátová;Klub OB Kysak;SVK;45:49;+15:52
W45-A;13;Iva Semíková;SK Kamenice;CZE;45:52;+15:55
W45-A;14;Iva Pechova;OK Lokomotiva Plzeň;SVK;46:25;+16:28
W45-B;1;Dana Barčová;KOB Čingov Spišská Nová Ves;SVK;32:28
W45-B;2;Ivana Kunzová;OK Ursus;SVK;32:37;+0:09
W45-B;3;Elena Mielcová;OOB TJ Baník Ostrava;SVK;43:00;+10:32
W45-B;4;Velgosová Oksana;Klub OB ATU Košice;SVK;49:27;+16:59
W45-B;5;Markéta Rachůnková;OK Jihlava;SVK;61:01;+28:33
W45-B;6;Marianna Patassiová;TJ Slávia Farmaceut Bratislava;SVK;67:06;+34:38
W45-B;7;Janka Pajgerová;Slávia Žilinská univerzita Žilina;SVK;76:14;+43:46
W50-A;1;Dagmar Hubáčková;TJ Slovan Luhačovice;SVK;23:02
W50-A;2;Jitka Fajkusová;SK Prostějov;SVK;30:27;+7:25
W50-A;3;Jana Franková;Klub OB Kysak;SVK;30:52;+7:50
W50-A;4;Sylva Vričanová;OB Havířov;SVK;30:58;+7:56
W50-A;5;Ivana Koucká;Ekonom Praha;SVK;35:15;+12:13
W50-A;6;Svatava Hanzlova;OB Havířov;SVK;37:27;+14:25
W50-A;7;Gabriella Györffy;Hegyisport Szentendre SE;SVK;37:36;+14:34
W50-A;8;Brigitte Maget;SKV OLG Deutsch Kaltenbrunn;CZE;41:44;+18:42
W50-A;9;Dóra Teo;Soproni MAFC;SVK;42:00;+18:58
W50-A;10;Gabriela Argalášová;TJ TŽ Třinec;SVK;42:24;+19:22
W50-A;11;Hana Baloghová;Športový klub Sandberg;SVK;43:08;+20:06
W50-A;12;Mária  Kováčová;Metropol Košice-nereg;SVK;44:35;+21:33
W50-A;13;Svetlana Postelniak;SKIF Sumy;SVK;45:14;+22:12
W50-A;14;Simona Štorková;SK Prostějov;SVK;76:59;+43:57
W55-A;1;Katalin Kármán;Hegyisport Szentendre SE;SVK;21:31
W55-A;2;Iveta Pijáková;Klub OB Sokol Pezinok;SVK;22:33;+1:02
W55-A;3;Ildikó Mátyás;Hegyisport Szentendre SE;SVK;22:52;+1:21
W55-A;4;Tamara Denysenko;Slávia Žilinská univerzita Žilina;SVK;26:03;+4:32
W55-A;5;Vladimira Potesilova;VSK Mendelu Brno;SVK;27:28;+5:57
W55-A;6;Alexandra Bravena;VSK Mendelu Brno;SVK;28:37;+7:06
W55-A;7;Jiřina Běhounová;OK99 Hradec Králové;SVK;29:29;+7:58
W55-A;8;Jana Mižúrová;TJ Slávia Farmaceut Bratislava;SVK;33:51;+12:20
W55-A;9;Pavla Bialožytová;TJ TŽ Třinec;SVK;34:33;+13:02
W55-A;10;Liudmyla Rudych;O-club Kyiv;SVK;39:36;+18:05
W55-A;11;Alena Kovarova;TJ Lokomotiva Teplice;SVK;53:22;+31:51
W55-A;12;Eva Honkyšová;SK Prostějov;SVK;75:33;+54:02
W60-A;1;Tetyana  Bozhko;O-club Kyiv;SVK;25:46
W60-A;2;Gabriella Jenovari;HSE;SVK;31:44;+5:58
W60-A;3;Beata Vávrová;TJ Rapid Bratislava;SVK;43:48;+18:02
W60-A;4;Katarína Daříčková;TJ Slávia Farmaceut Bratislava;SVK;124:26;+98:40
W60-A;Darina Poláčková;Klub OB Sokol Pezinok;CZE;MP
W65-A;1;Ivana Karmazínová;Slavia Liberec orienteering - VLI;SVK;24:23
W65-A;2;Egle Krasuckiene;OK Labirintas;SVK;26:11;+1:48
W65-A;3;Soňa Kavecká;Klub OB Sokol Pezinok;SVK;30:22;+5:59
W65-A;4;Darina Polónyiová;Slávia Žilinská univerzita Žilina;CZE;34:26;+10:03
W65-A;5;Ivana Úlehlová;OK JISKRA NOVY BOR;SVK;34:38;+10:15
W65-A;6;Zdenka Křížová;SKP Unitop Žďár nad Sázavou;SVK;35:43;+11:20
W65-A;7;Márta Lovász;Szegedi Vasutas SE;SVK;41:03;+16:40
W65-A;8;Ivana Volencová;TJ Jiskra Otrokovice;SVK;42:10;+17:47
W65-A;9;Maria Fischer;Tipo Orienteering Club;SVK;48:09;+23:46
W65-A;10;Jiřina Nováková;Slovan Praha;SVK;55:58;+31:35
W70-A;1;Marie Sikorova;OOB TJ Baník Ostrava;SVK;27:38
W70-A;2;Ildi Komár;HER;SVK;33:16;+5:38
W70-A;3;Liliia Pokh;O-club Kyiv;SVK;42:55;+15:17
W70-A;4;Skaidra Bumeliene;OK Labirintas;SVK;47:13;+19:35
